Wsp. x,Wsp. y1,Wsp. y2
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
0,408,118
1,408,118
1,408,118
1,408,118
1,408,118
1,408,118
1,408,118
1,408,118
1,408,118
1,408,118
1,408,118
1,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
3,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
4,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
5,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
6,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
7,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
8,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
9,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
10,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
11,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
12,408,118
13,408,118
13,408,118
13,408,118
13,408,118
13,408,118
13,408,118
13,408,118
13,408,118
13,408,118
