Wsp. x,Wsp. y1,Wsp. y2
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
0,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
1,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
2,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
3,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
4,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
5,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
6,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
7,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
8,457,146
9,457,146
9,457,146
