Wsp. x,Wsp. y1,Wsp. y2
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
0,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
1,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
2,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
3,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
4,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
5,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
6,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
7,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
8,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
9,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
10,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
11,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
12,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
13,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
14,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
15,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
16,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
17,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
18,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
19,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
20,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
21,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
22,4,378
23,4,378
23,4,378
23,4,378
23,4,378
23,4,378
23,4,378
23,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
24,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
25,4,378
